"size", "time", "only_vectors"
50000, 0.000000, 1
50000, 0.000000, 1
50000, 0.010000, 1
50000, 0.000000, 1
50000, 0.000000, 1
50000, 0.010000, 1
50000, 0.000000, 1
50000, 0.000000, 1
50000, 0.010000, 1
50000, 0.000000, 1
70000, 0.010000, 1
70000, 0.000000, 1
70000, 0.010000, 1
70000, 0.000000, 1
70000, 0.000000, 1
70000, 0.010000, 1
70000, 0.000000, 1
70000, 0.010000, 1
70000, 0.010000, 1
70000, 0.000000, 1
90000, 0.010000, 1
90000, 0.010000, 1
90000, 0.000000, 1
90000, 0.010000, 1
90000, 0.000000, 1
90000, 0.010000, 1
90000, 0.000000, 1
90000, 0.010000, 1
90000, 0.010000, 1
90000, 0.000000, 1
110000, 0.010000, 1
110000, 0.010000, 1
110000, 0.000000, 1
110000, 0.010000, 1
110000, 0.010000, 1
110000, 0.000000, 1
110000, 0.010000, 1
110000, 0.010000, 1
110000, 0.000000, 1
110000, 0.010000, 1
130000, 0.010000, 1
130000, 0.010000, 1
130000, 0.000000, 1
130000, 0.010000, 1
130000, 0.010000, 1
130000, 0.010000, 1
130000, 0.010000, 1
130000, 0.000000, 1
130000, 0.010000, 1
130000, 0.010000, 1
150000, 0.010000, 1
150000, 0.010000, 1
150000, 0.010000, 1
150000, 0.010000, 1
150000, 0.000000, 1
150000, 0.010000, 1
150000, 0.010000, 1
150000, 0.010000, 1
150000, 0.010000, 1
150000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
170000, 0.010000, 1
190000, 0.010000, 1
190000, 0.020000, 1
190000, 0.010000, 1
190000, 0.010000, 1
190000, 0.010000, 1
190000, 0.010000, 1
190000, 0.020000, 1
190000, 0.010000, 1
190000, 0.020000, 1
190000, 0.010000, 1
210000, 0.010000, 1
210000, 0.010000, 1
210000, 0.020000, 1
210000, 0.020000, 1
210000, 0.020000, 1
210000, 0.010000, 1
210000, 0.020000, 1
210000, 0.010000, 1
210000, 0.020000, 1
210000, 0.010000, 1
230000, 0.010000, 1
230000, 0.020000, 1
230000, 0.010000, 1
230000, 0.010000, 1
230000, 0.020000, 1
230000, 0.010000, 1
230000, 0.010000, 1
230000, 0.020000, 1
230000, 0.010000, 1
230000, 0.020000, 1
250000, 0.010000, 1
250000, 0.010000, 1
250000, 0.020000, 1
250000, 0.010000, 1
250000, 0.020000, 1
250000, 0.010000, 1
250000, 0.020000, 1
250000, 0.010000, 1
250000, 0.020000, 1
250000, 0.020000, 1
270000, 0.020000, 1
270000, 0.020000, 1
270000, 0.020000, 1
270000, 0.010000, 1
270000, 0.030000, 1
270000, 0.020000, 1
270000, 0.020000, 1
270000, 0.010000, 1
270000, 0.020000, 1
270000, 0.010000, 1
290000, 0.020000, 1
290000, 0.020000, 1
290000, 0.020000, 1
290000, 0.020000, 1
290000, 0.010000, 1
290000, 0.020000, 1
290000, 0.020000, 1
290000, 0.020000, 1
290000, 0.010000, 1
290000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
310000, 0.020000, 1
330000, 0.020000, 1
330000, 0.020000, 1
330000, 0.020000, 1
330000, 0.020000, 1
330000, 0.020000, 1
330000, 0.030000, 1
330000, 0.030000, 1
330000, 0.020000, 1
330000, 0.020000, 1
330000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.020000, 1
350000, 0.030000, 1
350000, 0.020000, 1
370000, 0.020000, 1
370000, 0.020000, 1
370000, 0.020000, 1
370000, 0.020000, 1
370000, 0.030000, 1
370000, 0.020000, 1
370000, 0.030000, 1
370000, 0.020000, 1
370000, 0.030000, 1
370000, 0.030000, 1
390000, 0.020000, 1
390000, 0.020000, 1
390000, 0.030000, 1
390000, 0.020000, 1
390000, 0.020000, 1
390000, 0.030000, 1
390000, 0.020000, 1
390000, 0.040000, 1
390000, 0.030000, 1
390000, 0.020000, 1
410000, 0.030000, 1
410000, 0.020000, 1
410000, 0.030000, 1
410000, 0.020000, 1
410000, 0.030000, 1
410000, 0.020000, 1
410000, 0.030000, 1
410000, 0.020000, 1
410000, 0.040000, 1
410000, 0.030000, 1
430000, 0.030000, 1
430000, 0.020000, 1
430000, 0.030000, 1
430000, 0.020000, 1
430000, 0.030000, 1
430000, 0.030000, 1
430000, 0.020000, 1
430000, 0.030000, 1
430000, 0.040000, 1
430000, 0.040000, 1
450000, 0.040000, 1
450000, 0.050000, 1
450000, 0.040000, 1
450000, 0.050000, 1
450000, 0.030000, 1
450000, 0.030000, 1
450000, 0.030000, 1
450000, 0.030000, 1
450000, 0.030000, 1
450000, 0.020000, 1
470000, 0.040000, 1
470000, 0.040000, 1
470000, 0.030000, 1
470000, 0.030000, 1
470000, 0.030000, 1
470000, 0.030000, 1
470000, 0.030000, 1
470000, 0.040000, 1
470000, 0.040000, 1
470000, 0.030000, 1
490000, 0.040000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
490000, 0.030000, 1
510000, 0.030000, 1
510000, 0.040000, 1
510000, 0.050000, 1
510000, 0.030000, 1
510000, 0.040000, 1
510000, 0.040000, 1
510000, 0.040000, 1
510000, 0.050000, 1
510000, 0.040000, 1
510000, 0.040000, 1
530000, 0.040000, 1
530000, 0.030000, 1
530000, 0.040000, 1
530000, 0.030000, 1
530000, 0.030000, 1
530000, 0.030000, 1
530000, 0.040000, 1
530000, 0.030000, 1
530000, 0.030000, 1
530000, 0.030000, 1
550000, 0.060000, 1
550000, 0.030000, 1
550000, 0.030000, 1
550000, 0.040000, 1
550000, 0.030000, 1
550000, 0.030000, 1
550000, 0.030000, 1
550000, 0.040000, 1
550000, 0.040000, 1
550000, 0.030000, 1
570000, 0.030000, 1
570000, 0.040000, 1
570000, 0.030000, 1
570000, 0.040000, 1
570000, 0.030000, 1
570000, 0.040000, 1
570000, 0.030000, 1
570000, 0.030000, 1
570000, 0.040000, 1
570000, 0.040000, 1
590000, 0.040000, 1
590000, 0.030000, 1
590000, 0.040000, 1
590000, 0.030000, 1
590000, 0.040000, 1
590000, 0.030000, 1
590000, 0.040000, 1
590000, 0.030000, 1
590000, 0.040000, 1
590000, 0.050000, 1
610000, 0.040000, 1
610000, 0.030000, 1
610000, 0.040000, 1
610000, 0.040000, 1
610000, 0.030000, 1
610000, 0.040000, 1
610000, 0.040000, 1
610000, 0.040000, 1
610000, 0.040000, 1
610000, 0.040000, 1
630000, 0.050000, 1
630000, 0.030000, 1
630000, 0.040000, 1
630000, 0.040000, 1
630000, 0.040000, 1
630000, 0.030000, 1
630000, 0.040000, 1
630000, 0.050000, 1
630000, 0.040000, 1
630000, 0.030000, 1
650000, 0.040000, 1
650000, 0.050000, 1
650000, 0.040000, 1
650000, 0.040000, 1
650000, 0.040000, 1
650000, 0.060000, 1
650000, 0.040000, 1
650000, 0.040000, 1
650000, 0.040000, 1
650000, 0.040000, 1
670000, 0.050000, 1
670000, 0.050000, 1
670000, 0.040000, 1
670000, 0.040000, 1
670000, 0.040000, 1
670000, 0.040000, 1
670000, 0.040000, 1
670000, 0.040000, 1
670000, 0.040000, 1
670000, 0.040000, 1
690000, 0.040000, 1
690000, 0.050000, 1
690000, 0.040000, 1
690000, 0.060000, 1
690000, 0.060000, 1
690000, 0.060000, 1
690000, 0.060000, 1
690000, 0.060000, 1
690000, 0.070000, 1
690000, 0.040000, 1
