time,size,name,poly
5.56e-6,10,n,true
1.4687e-5,10,p,true
0.029678726,10,l,false
0.00160779,10,n,false
2.6189e-5,10,p,false
3.239e-6,10,n,true
1.5613e-5,10,p,true
0.028440981,10,l,false
0.002254249,10,n,false
4.6426e-5,10,p,false
2.23e-6,10,n,true
1.6773e-5,10,p,true
0.020907771,10,l,false
0.001694568,10,n,false
2.5981e-5,10,p,false
2.293e-6,10,n,true
1.4143e-5,10,p,true
0.019324228,10,l,false
0.001638891,10,n,false
2.6103e-5,10,p,false
1.863e-6,10,n,true
1.2973e-5,10,p,true
0.017980994,10,l,false
0.001597037,10,n,false
2.6077e-5,10,p,false
2.305e-6,10,n,true
1.3021e-5,10,p,true
0.020055676,10,l,false
0.001887675,10,n,false
2.6135e-5,10,p,false
1.629e-6,10,n,true
1.3131e-5,10,p,true
0.028002703,10,l,false
0.001629953,10,n,false
2.4775e-5,10,p,false
2.099e-6,10,n,true
1.527e-5,10,p,true
0.018260209,10,l,false
0.001583219,10,n,false
2.4594e-5,10,p,false
1.691e-6,10,n,true
1.279e-5,10,p,true
0.017868862,10,l,false
0.001578979,10,n,false
2.4056e-5,10,p,false
1.458e-6,10,n,true
8.631e-6,10,p,true
0.017809477,10,l,false
0.00158379,10,n,false
2.384e-5,10,p,false
1.003e-6,60,n,true
6.389e-6,60,p,true
0.137589879,60,l,false
0.01067657,60,n,false
0.000144349,60,p,false
2.396e-6,60,n,true
1.5554e-5,60,p,true
0.130853851,60,l,false
0.023769371,60,n,false
0.000173624,60,p,false
2.758e-6,60,n,true
1.3409e-5,60,p,true
0.134927747,60,l,false
0.010171068,60,n,false
0.00014337,60,p,false
2.17e-6,60,n,true
1.5664e-5,60,p,true
0.133716758,60,l,false
0.010414245,60,n,false
0.000144003,60,p,false
2.659e-6,60,n,true
1.5587e-5,60,p,true
0.126937517,60,l,false
0.010368574,60,n,false
0.00014359,60,p,false
2.346e-6,60,n,true
1.5402e-5,60,p,true
0.135707563,60,l,false
0.010495509,60,n,false
0.000161285,60,p,false
2.256e-6,60,n,true
1.4543e-5,60,p,true
0.126940652,60,l,false
0.010691659,60,n,false
0.000146454,60,p,false
2.707e-6,60,n,true
1.3835e-5,60,p,true
0.12705063,60,l,false
0.012999427,60,n,false
0.000156896,60,p,false
2.843e-6,60,n,true
1.3612e-5,60,p,true
0.142648758,60,l,false
0.010290764,60,n,false
0.000143328,60,p,false
2.19e-6,60,n,true
1.5676e-5,60,p,true
0.139410763,60,l,false
0.014413464,60,n,false
0.000151944,60,p,false
5.303e-6,110,n,true
2.3934e-5,110,p,true
0.248335006,110,l,false
0.019128794,110,n,false
0.000255589,110,p,false
3.366e-6,110,n,true
1.6326e-5,110,p,true
0.23681028,110,l,false
0.019113395,110,n,false
0.000261601,110,p,false
2.853e-6,110,n,true
1.6172e-5,110,p,true
0.244531865,110,l,false
0.01915791,110,n,false
0.000255534,110,p,false
2.568e-6,110,n,true
1.5471e-5,110,p,true
0.259272491,110,l,false
0.020394281,110,n,false
0.000256551,110,p,false
2.92e-6,110,n,true
1.6678e-5,110,p,true
0.254358502,110,l,false
0.029443484,110,n,false
0.000273649,110,p,false
2.151e-6,110,n,true
1.4022e-5,110,p,true
0.226917927,110,l,false
0.027162334,110,n,false
0.000257985,110,p,false
2.475e-6,110,n,true
1.4882e-5,110,p,true
0.236268108,110,l,false
0.019015934,110,n,false
0.000257605,110,p,false
2.21e-6,110,n,true
1.5399e-5,110,p,true
0.248517471,110,l,false
0.019180862,110,n,false
0.000260012,110,p,false
2.924e-6,110,n,true
1.6425e-5,110,p,true
0.23672843,110,l,false
0.019927818,110,n,false
0.000270398,110,p,false
3.952e-6,110,n,true
1.7807e-5,110,p,true
0.246047171,110,l,false
0.019705023,110,n,false
0.000260596,110,p,false
2.353e-6,160,n,true
1.4045e-5,160,p,true
0.582414602,160,l,false
0.045617458,160,n,false
0.000414658,160,p,false
6.052e-6,160,n,true
2.1761e-5,160,p,true
0.509255034,160,l,false
0.05732887,160,n,false
0.000484429,160,p,false
4.432e-6,160,n,true
1.7656e-5,160,p,true
0.518209388,160,l,false
0.040822544,160,n,false
0.000390525,160,p,false
2.525e-6,160,n,true
2.1742e-5,160,p,true
0.497053194,160,l,false
0.038719843,160,n,false
0.000397444,160,p,false
2.928e-6,160,n,true
1.4658e-5,160,p,true
0.375579589,160,l,false
0.031123236,160,n,false
0.000387873,160,p,false
